中国IPTV,#genre#
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV14,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000008000000047441/main.m3u8
CCTV15,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000026000000446967/main.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV15,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000026000000446967/main.m3u8
CCTV16,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000079000000434986/main.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV16,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000079000000434986/main.m3u8
CCTV16 4K,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000085000000178450/index.m3u8
CCTV16 4K,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001001/00000001000000000085000000178450/index.m3u8
CCTV17,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000025000000024152/main.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV17,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000025000000024152/main.m3u8
重温经典,http://171.208.14.218:9090/live/cwjd/hls.m3u8
中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
CGTN,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000000000000020000000000182292/main.m3u8
CGTN,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000000000000020000000000182292/main.m3u8
CGTN纪录,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000000000000020000000000182305/main.m3u8
CGTN纪录,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000000000000020000000000182305/main.m3u8
CCTV4欧洲,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000071000000305577/main.m3u8
CCTV4欧洲,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000071000000305577/main.m3u8
CCTV4美洲,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000071000000305581/main.m3u8
CCTV4美洲,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000071000000305581/main.m3u8
CGTN西班牙语,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000071000000305582/main.m3u8
CGTN西班牙语,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000071000000305582/main.m3u8
